Country,Competition,Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SJH,SJD,SJA,VCH,VCD,VCA,WHH,WHD,WHA
Netherlands,Eredivisie,2016-2017,N1,2016-08-13,Ajax,Roda,2,2,D,1.22,7.0,10.0,,,,1.25,5.75,9.75,,,,1.25,5.0,10.0,1.25,6.0,12.0,,,,1.22,6.5,13.0,1.2,6.0,11.0
Netherlands,Eredivisie,2016-2017,N1,2016-08-13,Excelsior,Groningen,2,0,H,2.5,3.4,2.7,,,,2.4,3.3,2.75,,,,2.5,3.2,2.6,2.62,3.1,2.7,,,,2.63,3.4,2.7,2.5,3.25,2.6
Netherlands,Eredivisie,2016-2017,N1,2016-08-13,Vitesse,Den Haag,1,2,A,1.7,3.75,4.75,,,,1.67,3.7,4.75,,,,1.6,3.6,5.0,1.75,3.8,4.33,,,,1.75,4.0,4.4,1.7,3.75,4.2
Netherlands,Eredivisie,2016-2017,N1,2016-08-13,Zwolle,Sparta Rotterdam,0,3,A,1.7,3.6,5.0,,,,1.75,3.75,4.1,,,,1.75,3.6,4.1,1.73,4.0,4.33,,,,1.73,4.1,4.5,1.7,3.8,4.2
Netherlands,Eredivisie,2016-2017,N1,2016-08-14,Feyenoord,Twente,2,0,H,1.22,6.5,11.0,,,,1.28,5.25,9.5,,,,1.3,5.0,8.0,1.25,6.0,11.0,,,,1.22,6.5,13.0,1.29,5.0,9.0
Netherlands,Eredivisie,2016-2017,N1,2016-08-14,Go Ahead Eagles,Nijmegen,2,2,D,2.2,3.4,3.2,,,,2.3,3.3,2.9,,,,2.1,3.3,3.1,2.25,3.4,3.0,,,,2.25,3.5,3.1,2.2,3.3,3.0
Netherlands,Eredivisie,2016-2017,N1,2016-08-14,Heracles,Willem II,3,1,H,1.8,3.6,4.33,,,,1.75,3.6,4.4,,,,1.75,3.6,4.0,1.75,3.6,4.5,,,,1.8,3.75,4.5,1.8,3.5,4.0
Netherlands,Eredivisie,2016-2017,N1,2016-08-14,PSV Eindhoven,AZ Alkmaar,1,0,H,1.4,4.75,7.0,,,,1.36,4.75,7.25,,,,1.4,4.1,7.0,1.4,4.75,7.0,,,,1.4,5.0,7.5,1.4,4.75,6.0
Netherlands,Eredivisie,2016-2017,N1,2016-08-19,Excelsior,Den Haag,1,2,A,3.25,3.4,2.15,,,,3.0,3.4,2.2,,,,3.0,3.3,2.2,3.25,3.5,2.15,,,,3.25,3.6,2.15,2.9,3.3,2.25
Netherlands,Eredivisie,2016-2017,N1,2016-08-20,Ajax,Willem II,1,2,A,1.25,5.5,12.0,,,,1.25,6.0,9.0,,,,1.22,5.3,11.0,1.29,5.5,11.0,,,,1.25,6.0,11.5,1.25,5.5,9.5
Netherlands,Eredivisie,2016-2017,N1,2016-08-20,Nijmegen,Heerenveen,2,1,H,2.63,3.4,2.55,,,,2.55,3.4,2.55,,,,2.55,3.3,2.55,2.6,3.5,2.5,,,,2.63,3.5,2.6,2.6,3.4,2.45
